trainid,author,status
149,Donald J. Trump,Thank you @FLGovScott. https://t.co/rgdU9plvFK
150,Donald J. Trump,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x"
151,Justin Trudeau,RT @NationalDefence: The Importance of Remembrance #CanadaRemembers https://t.co/QrLVXDfMig
152,Justin Trudeau,RT @MarcMillerVM: J'ai pris un moment pour dire quelques mots en Kanien'kéha pour honorer les autochtones qui sont tombés au combat. Souven…
153,Justin Trudeau,"We had a good first meeting today, talking trade and how we can work together to create more jobs &amp; opportunities f… https://t.co/fMeaAw9Bon"
154,Justin Trudeau,"@SeamusORegan We’re all thinking of you, @SeamusORegan! Get well soon, my friend."
155,Donald J. Trump,Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendsh… https://t.co/2IdSIlE3Ek
156,Justin Trudeau,RT @googlecanada: Watch tmw: @JustinTrudeau discusses Canada’s role in the world of A.I. with @ericschmidt at #GoNorth17 via @nytimes https…
157,Justin Trudeau,"RT @CanadianForces: Today and every day, #CanadaRemembers. Join us in honouring past and current #CAF members. #RemembranceDay #LestWeForge…"
158,Donald J. Trump,"President Xi, thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸… https://t.co/Jbj5TWhCla"
159,Justin Trudeau,I'll always be grateful for George Gosbee's work on our advisory council during our time in opposition. Calgary has… https://t.co/ZihaF8eVoE
160,Justin Trudeau,"Bonne rencontre avec la directrice des opérations de Facebook, @sherylsandberg, sur l’innovation canadienne axée su… https://t.co/V8gi3Zhz4H"
161,Donald J. Trump,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!"
162,Donald J. Trump,"“President Donald J. Trump Proclaims October 24, 2017, as United Nations Day” Read more: https://t.co/cyRAQAKhy2 https://t.co/HVD0kLYlBk"
163,Justin Trudeau,"Aujourd’hui, nous rendons hommage à ceux qui ont tant enduré et tant sacrifié pour nous tous. https://t.co/R5RumFVwXu"
164,Justin Trudeau,"@Val_Plante Et félicitations à Régis Labeaume – réélu maire de Québec. On se revoit bientôt, j’espère."
165,Justin Trudeau,RT @VNXAllshares: 🎉🎆Listed Companies on Hochiminh Stock Exchange should be ready on increasing trade &amp; fintech with Canadian partners 🍁🍁&amp; s…
166,Donald J. Trump,"Together, we dream of a Korea that is free, a peninsula that is safe, and families that are reunited once again! https://t.co/9tsZRCC83j"
167,Donald J. Trump,We mourn the horrifying terrorist attack in NYC. All of America is praying and grieving for the families who lost t… https://t.co/gnCvusZ0Ud
168,Justin Trudeau,Announcing 4 by-elections! Get the details: https://t.co/15PNFkmoE0
169,Justin Trudeau,"RT @DrRobbieO: MWO Lemay &amp; Lt(N) Tremblay, old comrades from my military career were in #Parliament being honoured for their sele… https://…"
170,Donald J. Trump,#NYCStrong #USA🇺🇸 https://t.co/6K3Xw5P87d
171,Justin Trudeau,Prochain arrêt : Da Nang pour l’#APEC2017. Voici un résumé de ma visite jusqu’à maintenant : https://t.co/zzJlktn655
172,Donald J. Trump,Will be another Sean success! https://t.co/SlNTENvJLA
173,Donald J. Trump,"The meeting with Republican Senators yesterday, outside of Flake and Corker, was a love fest with standing ovations and great ideas for USA!"
174,Justin Trudeau,Comment bâtir un pays et un avenir meilleurs pour nos enfants ? La réponse est simple : en investissant dans les Ca… https://t.co/3BopqTiWUP
175,Donald J. Trump,RT @IvankaTrump: We're working to make tax cuts &amp; the expanded Child Tax Credit a reality for American families. The time is now! #TaxRefor…
176,Donald J. Trump,"Thank you to the GREAT NYPD, First Responders and all govt officials for having handled the terrible West Side atta… https://t.co/wcjWahjCHF"
177,Donald J. Trump,So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.
178,Donald J. Trump,"NYC terrorist was happy as he asked to hang ISIS flag in his hospital room. He killed 8 people, badly injured 12. SHOULD GET DEATH PENALTY!"
179,Donald J. Trump,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF"
180,Donald J. Trump,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!"
181,Justin Trudeau,RT @NavdeepSBains: L'innovation en action ! Les entreprises canadiennes et indiennes se sont rencontrées ce soir pour explorer les possibil…
182,Donald J. Trump,Anyone who doubts the strength or determination of the U.S. should look to our past....and you will doubt it no lon… https://t.co/n1Dc7xNmcg
183,Donald J. Trump,"Happy Birthday @TheLeeGreenwood!
#FlashbackFriday https://t.co/MCrMK6Eurm"
184,Donald J. Trump,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!
185,Donald J. Trump,I hope people will start to focus on our Massive Tax Cuts for Business (jobs) and the Middle Class (in addition to Democrat corruption)!
186,Justin Trudeau,"We’re on our way to Hanoi... to start a busy week in Vietnam &amp; the Philippines focused on APEC, trade and advancing human rights."
187,Justin Trudeau,RT @CanadianPM: Watch live: PM Justin Trudeau marks the 150th anniversary of the first sitting of the House of Commons. #cdnpoli https://t.…
188,Donald J. Trump,Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a
189,Donald J. Trump,"...Based on that, the Military has hit ISIS ""much harder"" over the last two days. They will pay a big price for every attack on us!"
190,Justin Trudeau,On parle des emplois et des possibilités liés à l’IA avec des leaders technologiques à #GoNorth17. Merci de vos idé… https://t.co/1OiD3ea7IY
191,Donald J. Trump,"WORKING TOGETHER, we will defeat this #OpioidEpidemic &amp; free our nation from the terrible affliction of drug abuse.… https://t.co/Mw8xZxOEUn"
192,Donald J. Trump,"People are anxiously awaiting my decision as to who the next head of the Fed will be....
🎥https://t.co/PEj1KNYcAO"
193,Donald J. Trump,"Jeff Flake, with an 18% approval rating in Arizona, said ""a lot of my colleagues have spoken out."" Really, they just gave me a standing O!"
194,Justin Trudeau,Tragic news from Iran and Iraq today. Canadians offer their deepest sympathies to the families affected by the earthquake in the region.
195,Justin Trudeau,"RT @SeamusORegan: 100 years ago today marks the end of one of our deadliest battles: Passchendaele.

We remember and honour their incredibl…"
196,Justin Trudeau,"RT @SeamusORegan: Aujourd’hui, il y a 100 ans, de terminait une de nos batailles les plus sanglantes: Passchendaele. 

Nous nous souvenons…"
197,Justin Trudeau,"Nous sommes axés sur une série d’enjeux, notamment le commerce et les droits de la personne. Merci au président Trầ… https://t.co/CSpVKkxlIG"
198,Donald J. Trump,The United States will be immediately implementing much tougher Extreme Vetting Procedures. The safety of our citizens comes first!
199,Donald J. Trump,"Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill"
200,Donald J. Trump,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!"
201,Justin Trudeau,Félicitations Georges! Like you never left. You've made us proud once again. 🇨🇦 https://t.co/eK1GA5w2og
202,Donald J. Trump,Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..
203,Donald J. Trump,"Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw"
204,Justin Trudeau,"RT @CQualtro: Congrats @amazonca on your Vancouver expansion project
&amp; the creation of 1000 new jobs. The kind of jobs that our communities…"
205,Donald J. Trump,Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral Co… https://t.co/cKVtPvEHOB
206,Donald J. Trump,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp; Justice Dept."
207,Donald J. Trump,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!"
208,Donald J. Trump,"Getting ready to leave for South Korea and meetings with President Moon, a fine gentleman. We will figure it all out!"
209,Justin Trudeau,Le Canada offre sa solidarité à ses voisins face à cette épreuve. Voici ma déclaration : https://t.co/qkWCuJjCiw
210,Donald J. Trump,"....came to the campaign. Few people knew the young, low level volunteer named George, who has already proven to be a liar. Check the DEMS!"
211,Justin Trudeau,"Great chat with @ericschmidt, talking about how investing in AI &amp; Canadian innovation creates jobs and builds a str… https://t.co/OvXP9DA2O9"
212,Justin Trudeau,"On this 100th anniversary of the victory at Passchendaele, we honour the heroism &amp; sacrifice of Canadians who fough… https://t.co/Xvp7dPo2bd"
213,Donald J. Trump,"Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our… https://t.co/0QnLU03c03"
214,Justin Trudeau,RT @SherryRomanado: Honoured to be leading the Government of Canada delegation to Belgium for the commemorative events for the 100th annive…
215,Donald J. Trump,Leaving South Korea now heading to China. Looking very much forward to meeting and being with President Xi!
216,Donald J. Trump,The United States has been reminded time and again in recent years that economic security is not merely RELATED to… https://t.co/62WsIAen7F
217,Justin Trudeau,"Coup d’envoi du 31e Sommet de l’#ANASE aux Philippines, aujourd’hui. https://t.co/XRbp0bc8kn"
218,Donald J. Trump,"Texas @GovAbbott &amp; Lt. Gov. @DanPatrick,

Thank you for todays briefing on hurricane recovery efforts here in TX. K… https://t.co/5lGb2FKLJ2"
219,Donald J. Trump,"The Fake News is working overtime. As Paul Manaforts lawyer said, there was ""no collusion"" and events mentioned took place long before he..."
220,Donald J. Trump,"We are fighting hard for Merit Based immigration, no more Democrat Lottery Systems. We must get MUCH tougher (and smarter).  @foxandfriends"
221,Donald J. Trump,President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.
222,Justin Trudeau,Celebrating the 50th anniversary of #ASEAN ahead of tomorrow’s Summit with President Duterte &amp; our allies. https://t.co/0idrGYnlPS
223,Justin Trudeau,"Merci, Filippo, de votre collaboration, de votre travail entourant la crise au Myanmar et de votre aide aux plus vu… https://t.co/Zf2Y2J7RIm"
224,Justin Trudeau,"Good meeting with Facebook’s COO, @sherylsandberg, focused on how we can support innovation in Canada to create job… https://t.co/kAQBfTgU5E"
225,Justin Trudeau,Je serai toujours reconnaissant pour le travail que George Gosbee a fait au sein de notre comité consultatif quand… https://t.co/SIG4z2OjHL
226,Donald J. Trump,The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC &amp; then stole the Democratic Primary from Crazy Bernie!
227,Donald J. Trump,"...the Uranium to Russia deal, the  33,000 plus deleted Emails, the Comey fix and so much more. Instead they look at phony Trump/Russia,...."
228,Justin Trudeau,"RT @liberal_party: On Aboriginal Veterans Day, we salute the Indigenous men &amp; women who have served. #CanadaRemembers #LestWeForget https:/…"
229,Justin Trudeau,"Today, we honour the people who endured so much, and sacrificed so greatly. https://t.co/6y2VgqFLzK"
230,Justin Trudeau,Nous nous sommes réunis au Cimetière national du Canada pour penser à #Passchendaele100 et honorer ceux qui ont rép… https://t.co/y6w1aQAQEa
231,Donald J. Trump,I will be interviewed by @IngrahamAngle on @FoxNews at 10:00. Enjoy!
232,Justin Trudeau,"En ce 100e anniversaire de la victoire à Passchendaele, nous honorons le héroïsme et les sacrifices des Canadiens q… https://t.co/rnFRRLviot"
233,Justin Trudeau,"Avec les communautés polonaises du Canada et du monde, nous célébrons le Jour de l’Indépendance de la Pologne : https://t.co/1sBie9YVlC"
234,Donald J. Trump,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi"
235,Donald J. Trump,RT @seanhannity: BOOM!!  Tick Tock https://t.co/8E2Lvj3TTa
236,Justin Trudeau,"RT @ForcesCanada: Aujourd'hui comme chaque jour, #LeCanadasesouvient. #jourduSouvenir https://t.co/2v6lLV4Bj5"
237,Donald J. Trump,"...""collusion,"" which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R's..."
238,Donald J. Trump,"Broadcom's move to America=$20 BILLION of annual rev into U.S.A., $3+ BILLION/yr. in research/engineering &amp; $6 BILL… https://t.co/0PUrl6k86K"
239,Donald J. Trump,"Effective today, my administration officially declared the #OpioidCrisis a NATIONAL PUBLIC HEALTH EMERGENCY under f… https://t.co/0DF0lnfKJG"
240,Donald J. Trump,@SenateMajLdr @SenateGOP ...and Appeals Court Judges at a record clip! Our courts are rapidly changing for the better!
241,Donald J. Trump,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!"
242,Justin Trudeau,"RT @FP_Champagne: Beaucoup d'énergie avec la délégation de notre #MissionCommercialeEnInde. Soyez ambitieux, créez des liens, signez des en…"
243,Donald J. Trump,Thank you @foxandfriends. Really great job and show!
244,Donald J. Trump,Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!
245,Justin Trudeau,"Thanks for having me and congratulations on your first year in Winnipeg, too! https://t.co/z2oVh8sXNz"
246,Justin Trudeau,"Où que nous soyons, nous sommes unis, coquelicots près du cœur, pour nous souvenir. #NoublionsJamais https://t.co/mn5ZvVXgmh"
247,Justin Trudeau,Police work in harm's way to protect us all. My deepest sympathies to the family of the @AbbyPoliceDept officer killed in the line of duty.
248,Donald J. Trump,"The terrorist came into our country through what is called the ""Diversity Visa Lottery Program,"" a Chuck Schumer beauty. I want merit based."
249,Donald J. Trump,Big news - Budget just passed!
250,Justin Trudeau,"RT @SeamusORegan: Aujourd'hui nous rendons aux hommes et femmes des Premières Nations, Métis et Inuit qui ont servi le Canada avec fierté e…"
251,Donald J. Trump,Thank you! https://t.co/TD0rYcWN8C
252,Donald J. Trump,It is finally happening for our great clean coal miners! https://t.co/suAnjs6Ccz
253,Donald J. Trump,RT @IvankaTrump: Touched by the warm hospitality of Prime Minister Abe and the Japanese people. ありがとうございます [Thank you]! Until next time 🇯🇵…
254,Justin Trudeau,"On the TPP trade deal: We've been working hard on it this week in Asia, and we're going to keep negotiating until w… https://t.co/eZKVL99H3D"
255,Donald J. Trump,"Great mtg w/ @Cabinet today. Tomorrow, I will be announcing the new head of the Fed. I think you will be extremely… https://t.co/dKtJBjGlYe"
256,Justin Trudeau,Merci de m’avoir reçu et félicitations pour votre première année à Winnipeg! https://t.co/z2oVh8sXNz
257,Justin Trudeau,RT @RalphGoodale: More excellent work by @rcmpgrcpolice + multiple law enforcement partners in Canada+US in efforts to get fentanyl off our…
258,Donald J. Trump,Just interviewed by @LouDobbs. Will be aired tonight at 7pmE on @FoxBusiness. #Dobbs
259,Donald J. Trump,#USA🇺🇸 #Japan🇯🇵 https://t.co/EvxFqAVnFS
260,Justin Trudeau,My thanks to Cardinal @gclacroix for the meeting in Ottawa this morning - it was nice to see you again. https://t.co/eThGAThNpA
261,Justin Trudeau,Canada stands in solidarity with our neighbours during this difficult time. Full statement: https://t.co/Vt2UtBTXSv
262,Justin Trudeau,"Des nouvelles tragiques de l’Iran et de l’Irak, aujourd’hui. Les Canadiens offrent leurs condoléances aux familles… https://t.co/xEzMqvx1ax"
263,Justin Trudeau,Ending a busy day at the People’s Committee HQ – thanks to Chairman Nguyễn Thành Phong for the meeting today. https://t.co/Y6bMHoaEpD
264,Justin Trudeau,Visit to Ho Chi Minh’s stilt house near the Presidential Palace earlier today. https://t.co/8l1mrGVXy2
265,Justin Trudeau,"Aujourd’hui, nous nous arrêtons un moment pour nous souvenir des Canadiens qui ont servi notre pays :… https://t.co/Uo52We1AQb"
266,Justin Trudeau,"RT @SeamusORegan: Today, and everyday, we remember.

Aujourd'hui, comme toujours, nous nous souviendrons. 

#CanadaRemembers #RemembranceDa…"
267,Justin Trudeau,RT @jyduclos: New parents: Our government is introducing more flexible #maternity and parental benefits! https://t.co/vFPmsvSlgC https://t.…
268,Justin Trudeau,RT @yuchengcomuseum: Canadian PM Justin Trudeau is welcomed to the Yuchengco Museum by Ms Helen Dee and Ms Yvonne Yuchengco. @JustinTrudeau…
269,Donald J. Trump,"Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp; the Philippines. Will never let you down!"
270,Donald J. Trump,"When will all the haters and fools out there realize that having a good relationship with Russia is a good thing, n… https://t.co/tPCd8nSwY3"
271,Donald J. Trump,"Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!"
272,Donald J. Trump,"Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo"
273,Justin Trudeau,RT @AsiaPacificFdn: Our PM @JustinTrudeau is at his welcoming gala in Vietnam for #APEC2017! Photo by our CEO @Stewartbeck https://t.co/IG0…
274,Justin Trudeau,"Bienvenue à Ottawa @USAmbCanada Craft, juste à temps pour l’hiver! Que la relation 🇨🇦 🇺🇸 soit chaleureuse peu impor… https://t.co/FVsHpQPlr5"
275,Donald J. Trump,Very little reporting about the GREAT GDP numbers announced yesterday (3.0 despite the big hurricane hits). Best consecutive Q's in years!
276,Donald J. Trump,"Franklin, such a great photo. 

HAPPY 99th BIRTHDAY to your father, @BillyGraham! https://t.co/l0c7RvvOa1"
277,Justin Trudeau,RT @VeteransFR_CA: RT pour rendre hommage aux vétérans canadiens. Vous recevrez un rappel le 11/11 et serez ajouté à une mosaïque #Lecanada…
278,Donald J. Trump,"I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo, and of course, the G… https://t.co/j2kDjWvnsj"
279,Justin Trudeau,Kicking off the 31st #ASEAN Summit in the Philippines today. https://t.co/2DOUQXtX3n
280,Justin Trudeau,Voici les détails à propos du nouveau comité parlementaire chargé de la sécurité nationale et du renseignement : https://t.co/4RzkIXk3wr
281,Justin Trudeau,"We’re focused on a variety of issues, including trade &amp; advancing human rights. My thanks to President Trần Đại Qua… https://t.co/dQVKrjXfi3"
282,Donald J. Trump,"On behalf of @FLOTUS Melania and I, THANK YOU for an unforgettable afternoon and evening at the Forbidden City in B… https://t.co/Q9H0MPdIvU"
283,Donald J. Trump,....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?
284,Donald J. Trump,"We must not allow ISIS to return, or enter, our country after defeating them in the Middle East and elsewhere. Enough!"
285,Donald J. Trump,"“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” 
➡️https://t.co/hgUQP9leqK 
➡️… https://t.co/xZ8AWnxDEA"
286,Donald J. Trump,Stock Market just hit another record high! Jobs looking very good.
287,Justin Trudeau,Merci à tous les vétérans autochtones qui ont servi leur pays et qui continuent de le servir avec fierté.… https://t.co/hvaetHTdFi
288,Donald J. Trump,"All of this ""Russia"" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!"
289,Donald J. Trump,"Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &amp; trade, two very important subjects!"
290,Justin Trudeau,RT @PMcanadien: En direct: le PM Trudeau souligne le 150e anniversaire de la 1re séance de la Chambre des communes. #polcan https://t.co/I4…
291,Justin Trudeau,"Visite de la maison sur pilotis de Hô Chi Minh, près du Palais présidentiel, plus tôt aujourd’hui. https://t.co/MaYrrsccdS"
292,Justin Trudeau,How do we build a better country &amp; future for our children? The answer is simple: by investing in Canadians. More f… https://t.co/ARFuFYNUhV
293,Justin Trudeau,RT @Carolyn_Bennett: .@ITK_CanadaInuit &amp; parmi d’autres disent que les solutions doivent provenir du Nord. Ns sommes d’accord! Regardez: ht…
294,Donald J. Trump,"...addresses of any mentioned person who is still living. I am doing this for reasons of full disclosure, transparency and..."
295,Donald J. Trump,MAKE AMERICA GREAT AGAIN! https://t.co/CbEwJSQ1A3
296,Justin Trudeau,Le premier ministre @TurnbullMalcolm et moi avons parlé du #TPP et des avantages de conclure un accord qui soit équ… https://t.co/CAS9EJw5K5
297,Justin Trudeau,RT @NANComms: Meegwetch @JustinTrudeau @janephilpott @Carolyn_Bennett for meeting with NAN youth! @gcfiddler @DGCAnnaBetty https://t.co/spt…
298,Justin Trudeau,#TBT to a backpacking trip in Vietnam many years ago… my thanks to the Canadian Embassy for pulling out the old gue… https://t.co/hnKgkdTZik
299,Donald J. Trump,"Throughout my travels, I've had the pleasure of sharing the good news from America. I've had the honor of sharing o… https://t.co/eGkJAZaPuU"
